,owner_1_score,RATE_owner_1,CAP_AMOUNT_owner_1,PERCENT_OWN_owner_1,years_in_business,RATE_ID_FOR_years_in_business,fsr,INPUT_VALUE_ID_FOR_num_negative_days,RATE_ID_FOR_num_negative_days,INPUT_VALUE_ID_FOR_num_deposits,RATE_ID_FOR_num_deposits,INPUT_VALUE_ID_FOR_monthly_gross,INPUT_VALUE_ID_FOR_average_ledger,INPUT_VALUE_ID_FOR_fc_margin,INPUT_VALUE_ID_FOR_current_position,INPUT_VALUE_ID_FOR_avg_net_deposits,INPUT_VALUE_owner_4,RATE_owner_4,CAP_AMOUNT_owner_4,PERCENT_OWN_owner_4,deal_application_thread_id,completion_status,PCA
265,635.0,0,150000.0,100.0,4.09,0,48.333333333333336,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,635.0,0,150000.0,100.0,5428,1,-0.16776518876507623
266,638.0,0,150000.0,100.0,6.79,0,5.0,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,638.0,0,150000.0,100.0,3934,0,-0.16774818738116343
267,559.0,1,100000.0,100.0,5.94,0,2.0,0.666666667,0,8.666666667,3,39259.33333,7718.333333,0.2,0.0,39259.33333,559.0,1,100000.0,100.0,3618,0,-0.07572426121810691
268,712.0,0,150000.0,100.0,28.91,0,63.0,0.0,0,50.0,0,45533.6725,5000.0,0.11,2.0,45533.6725,712.0,0,150000.0,100.0,4431,2,-0.017017820604503554
269,632.0,0,150000.0,50.0,8.47,0,31.0,0.0,0,6.75,3,33005.0975,6198.4175,0.19,0.0,33005.0975,650.0,0,150000.0,100.0,203,1,-0.019644599844746414
270,610.0,0,150000.0,100.0,3.58,0,76.0,0.333333333,0,50.0,0,436135.1933,59283.23,0.14,1.0,436135.1933,610.0,0,150000.0,100.0,4729,1,0.10974323735086908
271,660.0,0,150000.0,100.0,2.81,0,34.666666666666664,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,660.0,0,150000.0,100.0,1521,3,-0.16762351056580285
272,626.0,0,150000.0,100.0,1.13,1,14.0,0.0,0,55.25,0,43057.3125,16057.0,0.37,1.0,43057.3125,626.0,0,150000.0,100.0,4514,0,-0.01824387668653657
273,663.0,0,150000.0,51.0,26.2,0,73.0,0.416666667,0,26.91666667,0,68731.75,23623.91667,0.34,1.0,68731.75,679.0,0,150000.0,100.0,7871,1,-0.019451706039890587
274,595.0,1,100000.0,100.0,5.7,0,24.0,1.75,1,38.75,0,14581.0,572.7975,0.04,1.0,14581.0,595.0,1,100000.0,100.0,1371,0,-0.08288164084914035
